station_complex,station_complex_id,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",622.0,Manhattan,40.71324,-74.0034,POINT (-74.0034 40.71324),20356.625302370583,9.921210828418529
"Bryant Pk (B,D,F,M)/5 Av (7)",609.0,Manhattan,40.754223,-73.981964,POINT (-73.981964 40.754223),39636.091376390905,10.587520609777782
Buhre Av (6),361.0,Bronx,40.84681,-73.832565,POINT (-73.832565 40.84681),2642.5662191582005,7.8798841251662655
"Burke Av (2,5)",422.0,Bronx,40.871357,-73.867165,POINT (-73.867165 40.871357),1720.819908079342,7.451137096521595
Burnside Av (4),384.0,Bronx,40.853455,-73.907684,POINT (-73.907684 40.853455),6012.663945331398,8.701789483259464
Bushwick Av-Aberdeen St (L),131.0,Brooklyn,40.68283,-73.90525,POINT (-73.90525 40.68283),1759.4578495403966,7.473329195985507
Canal St (1),325.0,Manhattan,40.722855,-74.00628,POINT (-74.00628 40.722855),4035.3002539912914,8.30308377265866
"Canal St (A,C,E)",169.0,Manhattan,40.720825,-74.005226,POINT (-74.005226 40.720825),13677.950229801645,9.523613450644463
"Canal St (J,N,Q,R,W,Z,6)",623.0,Manhattan,40.71953,-73.99989,POINT (-73.99989 40.71953),31553.216194968554,10.359462494380685
Canarsie-Rockaway Pkwy (L),138.0,Brooklyn,40.646652,-73.90185,POINT (-73.90185 40.646652),2112.861816642477,7.656271798467102
