station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
"49 St (N,R,W)",10.0,Manhattan,40.7599,-73.98414,POINT (-73.98414 40.7599),2024,19973.98113207547,9.902235826057082
"5 Av/53 St (E,M)",276.0,Manhattan,40.760166,-73.97523,POINT (-73.97523 40.760166),2023,17521.24358974359,9.771226415066877
"5 Av/53 St (E,M)",276.0,Manhattan,40.760166,-73.97523,POINT (-73.97523 40.760166),2024,16964.924528301886,9.738962171949316
"5 Av/59 St (N,R,W)",8.0,Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),2023,10965.826923076924,9.302630261025111
"5 Av/59 St (N,R,W)",8.0,Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),2024,11764.396226415094,9.37291797899768
50 St (1),316.0,Manhattan,40.761726,-73.98385,POINT (-73.98385 40.761726),2023,19473.910256410258,9.876882262585085
50 St (1),316.0,Manhattan,40.761726,-73.98385,POINT (-73.98385 40.761726),2024,17478.69811320755,9.768795378648925
"50 St (C,E)",162.0,Manhattan,40.762455,-73.985985,POINT (-73.985985 40.762455),2023,14949.833333333334,9.61252231862543
"50 St (C,E)",162.0,Manhattan,40.762455,-73.985985,POINT (-73.985985 40.762455),2024,16661.861635220124,9.720937667790539
50 St (D),61.0,Brooklyn,40.63626,-73.99479,POINT (-73.99479 40.63626),2023,2538.0641025641025,7.839550828555766
